,Gene.stable.ID,HGNC.symbol
1,ENSG00000210049,MT-TF
2,ENSG00000211459,MT-RNR1
3,ENSG00000210077,MT-TV
4,ENSG00000210082,MT-RNR2
5,ENSG00000209082,MT-TL1
6,ENSG00000198888,MT-ND1
7,ENSG00000210100,MT-TI
8,ENSG00000210107,MT-TQ
9,ENSG00000210112,MT-TM
10,ENSG00000198763,MT-ND2
11,ENSG00000210117,MT-TW
12,ENSG00000210127,MT-TA
13,ENSG00000210135,MT-TN
14,ENSG00000210140,MT-TC
15,ENSG00000210144,MT-TY
16,ENSG00000198804,MT-CO1
17,ENSG00000210151,MT-TS1
18,ENSG00000210154,MT-TD
19,ENSG00000198712,MT-CO2
20,ENSG00000210156,MT-TK
21,ENSG00000228253,MT-ATP8
22,ENSG00000198899,MT-ATP6
23,ENSG00000198938,MT-CO3
24,ENSG00000210164,MT-TG
25,ENSG00000198840,MT-ND3
26,ENSG00000210174,MT-TR
27,ENSG00000212907,MT-ND4L
28,ENSG00000198886,MT-ND4
29,ENSG00000210176,MT-TH
30,ENSG00000210184,MT-TS2
31,ENSG00000210191,MT-TL2
32,ENSG00000198786,MT-ND5
33,ENSG00000198695,MT-ND6
34,ENSG00000210194,MT-TE
35,ENSG00000198727,MT-CYB
36,ENSG00000210195,MT-TT
37,ENSG00000210196,MT-TP
38,ENSG00000228476,CSTP1
39,ENSG00000220875,H3C9P
42,ENSG00000243307,POM121L6P
43,ENSG00000023516,AKAP11
45,ENSG00000232987,LINC01219
48,ENSG00000169325,GUSBP12
49,ENSG00000259930,HLA-P
50,ENSG00000224473,CCND3P1
51,ENSG00000187051,RPS19BP1
52,ENSG00000120685,PROSER1
54,ENSG00000224445,LINC01708
55,ENSG00000164219,PGGT1B
56,ENSG00000178913,TAF7
57,ENSG00000254066,LINC01938
58,ENSG00000276592,PHBP6
60,ENSG00000161904,LEMD2
62,ENSG00000271215,RPL21P136
63,ENSG00000148156,ACTL7B
64,ENSG00000173040,EVC2
66,ENSG00000100600,LGMN
69,ENSG00000283503,LINC01902
71,ENSG00000263057,KRT20
72,ENSG00000236877,SETD6P1
77,ENSG00000267413,LINC01901
78,ENSG00000204767,INSYN2B
79,ENSG00000234367,PFN1P3
80,ENSG00000244687,UBE2V1
